contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid_ask_spread,days_to_expire,optionType
AAPL260227C00340000,2026-02-24 14:35:14+00:00,340.0,0.1,10.0,53,271.343,29.37,0.01,3.267,c
AAPL260227C00350000,2026-01-14 16:23:55+00:00,350.0,0.06,,10,263.61,30.54,0.01,44.192,c
AAPL260227C00360000,2026-02-20 18:03:28+00:00,360.0,0.01,1.0,1,263.28,28.89,0.01,7.123,c
AAPL260227C00380000,2026-02-13 14:30:00+00:00,380.0,0.01,5.0,28,263.61,30.54,0.01,14.271,c
AAPL260227C00385000,2026-01-27 18:37:50+00:00,385.0,0.01,5.0,0,263.61,30.54,0.19,31.099,c
AAPL260227C00390000,2026-02-03 15:36:00+00:00,390.0,0.01,3.0,9,263.61,30.54,0.01,24.225,c
AAPL260227C00400000,2026-02-09 15:54:23+00:00,400.0,0.04,20.0,23,263.61,30.54,0.01,18.212,c
AAPL260227P00110000,2026-02-13 20:46:12+00:00,110.0,0.01,9000.0,9001,263.61,30.54,0.01,14.01,p
AAPL260227P00120000,2026-02-13 20:43:37+00:00,120.0,0.01,,2250,263.61,30.54,0.01,14.011,p
AAPL260227P00135000,2026-02-24 20:56:43+00:00,135.0,0.01,370.0,1235,272.28,28.76,0.01,3.002,p
AAPL260227P00140000,2026-02-18 19:21:21+00:00,140.0,0.07,200.0,201,263.61,30.54,0.19,9.069,p
AAPL260227P00145000,2026-02-02 16:56:05+00:00,145.0,0.04,6.0,5,263.61,30.54,0.19,25.169,p
AAPL260227P00150000,2026-02-13 20:01:38+00:00,150.0,0.03,1.0,11,263.61,30.54,0.19,14.041,p
AAPL260227P00155000,2026-02-02 20:10:13+00:00,155.0,0.04,,11,263.61,30.54,0.19,25.035,p
AAPL260227P00160000,2026-02-12 18:11:26+00:00,160.0,0.63,2.0,4,263.61,30.54,0.19,15.117,p
AAPL260227P00165000,2026-02-13 15:39:34+00:00,165.0,0.1,1.0,2,263.61,30.54,0.19,14.223,p
AAPL260227P00170000,2026-02-24 17:44:16+00:00,170.0,0.01,521.0,569,271.94,28.41,0.02,3.136,p
AAPL260227P00175000,2026-02-23 19:26:30+00:00,175.0,0.01,29.0,516,267.505,28.78,0.04,4.065,p
AAPL260227P00180000,2026-02-24 20:20:13+00:00,180.0,0.06,1.0,78,271.605,28.9,0.19,3.028,p
AAPL260227P00185000,2026-02-24 16:23:51+00:00,185.0,0.01,1.0,140,273.905,28.29,0.19,3.192,p
AAPL260227P00190000,2026-02-18 15:55:26+00:00,190.0,0.02,24.0,107,263.61,30.54,0.19,9.212,p
AAPL260227P00195000,2026-02-24 17:58:51+00:00,195.0,0.01,1.0,194,272.29,28.3,0.02,3.126,p
AAPL260227P00200000,2026-02-24 20:54:42+00:00,200.0,0.01,272.0,1967,272.28,28.8,0.02,3.004,p
AAPL260227P00205000,2026-02-23 15:11:28+00:00,205.0,0.01,1.0,232,265.835,28.06,0.01,4.242,p
AAPL260227P00210000,2026-02-25 15:22:59+00:00,210.0,0.01,1.0,2246,273.12,27.56,0.02,2.234,p
AAPL260227P00215000,2026-02-24 18:26:48+00:00,215.0,0.02,31.0,1177,271.7,28.49,0.01,3.106,p
AAPL260227P00220000,2026-02-25 14:44:09+00:00,220.0,0.01,188.0,2471,272.23,28.04,0.04,2.261,p
AAPL260227P00225000,2026-02-25 19:02:24+00:00,225.0,0.01,453.0,1445,274.61,27.6,0.01,2.082,p
AAPL260227P00230000,2026-02-25 16:08:02+00:00,230.0,0.01,68.0,3618,274.338,27.66,0.01,2.203,p
AAPL260227P00232500,2026-02-25 19:10:10+00:00,232.5,0.01,121.0,1696,274.77,27.58,0.01,2.076,p
AAPL260227P00235000,2026-02-25 18:50:17+00:00,235.0,0.01,38.0,2328,274.601,27.6,0.01,2.09,p
AAPL260227P00237500,2026-02-25 15:36:47+00:00,237.5,0.02,12.0,2009,273.73,27.58,0.02,2.224,p
AAPL260227P00240000,2026-02-25 18:59:45+00:00,240.0,0.02,582.0,3449,274.63,27.59,0.01,2.084,p
AAPL260227P00242500,2026-02-25 18:43:11+00:00,242.5,0.03,34.0,2120,274.48,27.61,0.02,2.095,p
AAPL260227P00245000,2026-02-25 18:55:51+00:00,245.0,0.02,285.0,3136,274.664,27.64,0.01,2.086,p
AAPL260227P00247500,2026-02-25 19:20:54+00:00,247.5,0.04,185.0,1137,274.595,27.58,0.01,2.069,p
AAPL260227P00250000,2026-02-25 19:15:02+00:00,250.0,0.03,917.0,5502,274.83,27.64,0.01,2.073,p
AAPL260227P00252500,2026-02-25 19:20:54+00:00,252.5,0.05,590.0,1863,274.595,27.58,0.01,2.069,p
AAPL260227P00255000,2026-02-25 19:10:21+00:00,255.0,0.07,2224.0,6846,274.77,27.58,0.02,2.076,p
AAPL260227P00257500,2026-02-25 19:15:10+00:00,257.5,0.09,425.0,3483,274.83,27.64,0.01,2.073,p
AAPL260227P00260000,2026-02-25 19:19:39+00:00,260.0,0.12,12081.0,12645,274.521,27.6,0.01,2.07,p
AAPL260227P00262500,2026-02-25 19:20:21+00:00,262.5,0.18,9908.0,4337,274.521,27.6,0.01,2.069,p
AAPL260227P00265000,2026-02-25 19:21:51+00:00,265.0,0.27,7441.0,8269,274.5,27.57,0.01,2.068,p
AAPL260227P00267500,2026-02-25 19:20:42+00:00,267.5,0.46,5298.0,2398,274.595,27.58,0.01,2.069,p
AAPL260227P00270000,2026-02-25 19:21:06+00:00,270.0,0.82,13230.0,5462,274.595,27.58,0.02,2.069,p
AAPL260227P00272500,2026-02-25 19:22:13+00:00,272.5,1.41,19331.0,3711,274.5,27.57,0.02,2.068,p
AAPL260227P00275000,2026-02-25 19:21:46+00:00,275.0,2.41,6895.0,2743,274.5,27.57,0.02,2.068,p
