contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid,ask,bid_ask_spread,days_to_expire,optionType
AMZN271217P00215000,2026-03-04 15:50:59+00:00,215.0,35.72,4.0,730,215.71,35.45,35.3,35.75,0.45,653.215,p
AMZN271217P00220000,2026-03-04 17:46:37+00:00,220.0,38.55,2.0,3945,215.05,35.27,38.05,38.5,0.45,653.134,p
AMZN271217P00225000,2026-02-27 20:17:55+00:00,225.0,44.51,5.0,465,209.74,35.67,40.75,41.2,0.45,658.029,p
AMZN271217P00230000,2026-03-04 16:21:05+00:00,230.0,43.75,2.0,1340,215.815,35.23,43.4,43.95,0.55,653.194,p
AMZN271217P00235000,2026-02-13 17:41:44+00:00,235.0,54.25,5.0,591,216.49,35.29,46.35,46.85,0.5,672.138,p
AMZN271217P00240000,2026-02-27 19:27:00+00:00,240.0,54.1,50.0,1470,208.92,35.88,49.25,49.75,0.5,658.065,p
AMZN271217P00245000,2026-03-02 17:11:19+00:00,245.0,57.05,1.0,459,208.67,36.57,52.3,52.85,0.55,655.159,p
AMZN271217P00250000,2026-03-03 16:20:56+00:00,250.0,62.23,101.0,684,205.17,39.14,55.5,56.0,0.5,654.194,p
AMZN271217P00255000,2026-02-27 18:34:10+00:00,255.0,64.21,1.0,448,208.451,35.71,58.75,59.3,0.55,658.101,p
AMZN271217P00260000,2026-03-04 14:59:55+00:00,260.0,63.55,100.0,1223,214.855,36.73,62.1,62.65,0.55,653.25,p
AMZN271217P00265000,2026-02-06 16:05:14+00:00,265.0,72.06,6.0,267,210.085,34.72,65.65,66.25,0.6,679.205,p
AMZN271217P00270000,2026-02-17 15:46:54+00:00,270.0,80.13,2.0,1221,216.49,35.29,69.2,69.8,0.6,668.217,p
AMZN271217P00275000,2026-02-23 15:38:40+00:00,275.0,81.0,2.0,143,216.49,35.29,72.65,73.2,0.55,662.223,p
AMZN271217P00280000,2026-02-06 15:18:45+00:00,280.0,83.7,11.0,919,216.49,35.29,76.35,76.95,0.6,679.237,p
AMZN271217P00285000,2026-02-17 16:21:14+00:00,285.0,90.75,11.0,309,210.085,34.72,80.15,80.7,0.55,668.194,p
AMZN271217P00290000,2026-01-21 19:27:38+00:00,290.0,75.7,2.0,1319,210.085,34.72,84.0,84.55,0.55,695.064,p
AMZN271217P00295000,2026-01-08 17:53:30+00:00,295.0,68.9,2.0,11,210.085,34.72,101.3,101.85,0.55,708.13,p
AMZN271217P00300000,2026-03-04 15:27:20+00:00,300.0,91.4,1.0,277,217.26,35.1,92.0,92.6,0.6,653.231,p
AMZN271217P00305000,2026-02-19 20:35:07+00:00,305.0,105.57,3.0,176,210.085,34.72,95.9,96.4,0.5,666.017,p
